subj,lastwin,lasttransR,stay,s1rt,s2rt,currtransR
597,-1,-1,0,1.88787866080293,0.897214589540454,1
597,-1,1,0,2.44704766882296,1.32405366193962,1
597,1,1,1,0.857353501982288,1.54852158535414,-1
597,-1,-1,0,0.830266455431229,0.937132856790413,-1
597,1,-1,1,0.620541118328219,0.682159811884048,-1
597,1,-1,1,0.459270438949716,1.57286400667454,1
597,1,1,1,0.812818829830576,0.625621802782916,1
597,1,1,0,0.292116604563489,0.822710916600954,-1
597,-1,-1,0,0.320068188513687,0.778826724536884,1
597,1,1,0,0.823059370623923,0.633558539562728,-1
597,-1,-1,0,1.05626308036335,1.06076414845029,-1
597,1,-1,1,1.07762922539132,0.351224767525309,-1
597,-1,-1,0,0.313898646327289,0.652980575052425,-1
597,1,-1,0,0.579226102695429,0.545332717897509,-1
597,-1,-1,0,0.789200195897138,0.39268444289155,-1
597,1,-1,0,0.447515369383837,0.381187903729369,-1
597,1,-1,0,0.591049592406307,0.585755828072251,-1
597,1,-1,1,1.51924509417404,0.465625692957474,1
597,1,1,1,0.465647196430837,0.439716939040409,-1
597,-1,-1,0,0.51484421272653,0.318241859366935,-1
597,1,-1,0,0.796057360536906,0.550293667100959,-1
597,1,-1,1,0.636193203847142,0.530568628112633,-1
597,1,-1,1,0.428725242801193,0.814128098169931,-1
597,1,-1,1,0.588299591307077,0.362059586146643,1
597,1,1,1,0.629294987120375,0.403735273683196,1
597,-1,1,1,0.25856678663331,0.579128848347864,-1
597,-1,-1,0,0.366778621265439,0.571068955307965,-1
597,1,-1,0,0.623823330409323,0.686168254930635,-1
597,-1,-1,0,0.385842428427168,0.559715609733757,-1
597,1,-1,0,0.481268492885647,0.475758227664301,1
597,1,1,1,0.607263700542717,1.49967106821987,-1
597,1,-1,0,0.348724011239028,0.83475237334369,-1
597,-1,-1,1,0.312269269454191,0.727632817448466,-1
597,-1,-1,0,0.591008540320217,0.504629085130546,1
597,-1,1,0,0.466635378806131,0.69007846619661,1
597,1,1,0,0.972511936158298,0.704364592400452,-1
597,1,-1,0,0.295595280203088,0.823887254373403,-1
597,1,-1,1,0.296177340148461,0.322747814607283,1
597,1,1,0,0.290850483677787,0.315077916391601,-1
597,-1,-1,1,0.373708604488456,0.360211264810459,-1
597,-1,-1,0,0.332860800701383,0.622066398837887,1
597,-1,1,0,0.211681882512494,0.350565490560257,1
597,1,1,0,0.301807340621963,1.09269582995876,-1
597,1,-1,0,0.25256487380193,1.52522501481599,1
597,-1,1,0,0.340547803953086,0.527751184299632,-1
597,1,-1,0,0.258707536645488,0.538623145283964,-1
597,-1,-1,1,0.654141273934329,0.923028532686658,-1
597,1,-1,1,1.58813245066813,0.853859676167303,1
597,1,1,1,0.974755139472109,0.931094779024534,-1
597,1,-1,1,0.405310403156363,1.26841049058748,-1
597,-1,-1,0,1.42690966539158,0.00953065542125842,1
597,1,1,1,1.32211004111559,0.00154700197163038,-1
597,-1,-1,1,0.568122490650239,0.809012714926212,-1
597,-1,-1,0,0.372880720738976,1.4596447948843,1
597,1,1,1,0.745989453543189,0.142803322893087,-1
597,1,-1,1,0.681446287518156,0.965914768068615,-1
597,1,-1,0,1.36921828813774,0.719137479060009,-1
597,1,-1,0,0.820081139469039,0.21325310226257,-1
597,-1,-1,0,0.761437744775321,0.339868489660148,-1
597,-1,-1,0,0.531074937183803,0.373401691267645,1
597,1,1,1,0.795277370887561,0.627800984389978,-1
597,1,-1,0,1.67210547162813,0.349567045163894,-1
597,-1,-1,1,0.83529973450095,0.360483967958316,-1
597,1,-1,1,0.327134523310633,0.607591139806573,-1
597,-1,-1,0,0.0481440527701125,0.368036574497637,-1
597,1,-1,1,0.30659381845544,0.236512041721653,-1
597,-1,-1,0,0.30214308804625,0.206225375976828,-1
597,-1,-1,1,0.330025274421132,0.384057640081664,-1
597,-1,-1,1,0.581490809484421,0.376433681107301,-1
597,-1,-1,0,0.393965365742588,0.417016601189971,-1
597,-1,-1,1,0.347157189926293,0.382913557520624,1
