trial_type,trial_index,time_elapsed,internal_node_id,rocket_sides,red_planet_first_rocket,red_display_order,purple_display_order,interactions,blur_events,focus_events,fullscreenenter_events,fullscreenexit_events,rt,stimulus,key_press,button_pressed,success,duration,valid_pressed,rts,keys,planet_text,right_text,left_text,center_text,chosen_text,reward_text,trial_stage,practice_trial,transition_type,choice,reward,timestamp,transition,subject_id
pavlovia,0,51,0.0-0.0,TRUE,FALSE,FALSE,TRUE,"
","
","
","
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
html-keyboard-response,1,1447,0.0-1.0,TRUE,FALSE,FALSE,TRUE,"
","
","
","
","
",1391.0000000000018,Welcome! Press the space bar to begin.,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
audio-keyboard-response,2,4258,0.0-2.0,TRUE,FALSE,FALSE,TRUE,"
","
","
","
","
",2685,audio/beep_loop.wav,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
audio-button-response,3,7376,0.0-3.0,TRUE,FALSE,FALSE,TRUE,"
","
","
","
","
",NaN,audio/fish.mp3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
audio-button-response,4,10623,0.0-4.0,TRUE,FALSE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
",NaN,audio/tiger.mp3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
fullscreen,5,19782,0.0-5.0,TRUE,FALSE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
d3-instructions,6,32370,0.0-6.0,TRUE,FALSE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
d3-instructions,7,39476,0.0-7.0,TRUE,FALSE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
d3-instructions,8,46242,0.0-8.0,TRUE,FALSE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
d3-instructions,9,56702,0.0-9.0,TRUE,FALSE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""18867""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub73
