success,trial_type,trial_index,time_elapsed,internal_node_id,interactions,blur_events,focus_events,fullscreenenter_events,fullscreenexit_events,rt,stimulus,button_pressed,key_press,part,timestamp,unshuffled_button,correct_response,correct_button,correct,value,subject_id
TRUE,fullscreen,0,4322,0.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub39
NA,pavlovia,1,4333,0.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub39
NA,html-button-response,2,8881,0.0-2.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",4544.425000000047,<p>Welcome! Press START to begin.</p><br>,0,NA,NA,NA,NA,NA,NA,NA,NA,sub39
NA,audio-button-response,3,16848,0.0-3.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",7963.270000007469,audio/mars_instructions_slide2.wav,0,NA,NA,NA,NA,NA,NA,NA,NA,sub39
NA,audio-button-response,4,19040,0.0-4.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",2190.2200000185985,audio/mars_instructions_slide3.wav,0,NA,NA,NA,NA,NA,NA,NA,NA,sub39
NA,html-keyboard-response,5,19543,0.0-5.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:03Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,6,26428,0.0-5.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",4773.320000007516,<img style='border: 4px solid darkgrey;' src='practice/pt1_M1.png'></img>,1,NA,practice,NA,0,<img src='practice/pt1_T1.png'></img>,0,TRUE,NA,sub39
NA,html-keyboard-response,7,26934,0.0-6.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:10Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,8,32852,0.0-6.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",3809.88499999512,<img style='border: 4px solid darkgrey;' src='practice/pt2_M1.png'></img>,3,NA,practice,NA,0,<img src='practice/pt2_T1.png'></img>,0,TRUE,NA,sub39
NA,html-keyboard-response,9,33355,0.0-7.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:16Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,10,37475,0.0-7.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",2011.2949999747798,<img style='border: 4px solid darkgrey;' src='practice/pt3_M1.png'></img>,0,NA,practice,NA,0,<img src='practice/pt3_T1.png'></img>,0,TRUE,NA,sub39
NA,audio-button-response,11,41064,0.0-8.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",3586.249999993015,audio/mars_instructions_slide4.wav,0,NA,NA,NA,NA,NA,NA,NA,NA,sub39
NA,call-function,12,41065,0.0-9.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub39
NA,html-keyboard-response,13,41566,0.0-10.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:25Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,14,44223,0.0-10.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",2046.3800000143237,<img style='border: 4px solid darkgrey;' src='img/tf1_1_M_ss3.jpeg'></img>,2,NA,exp,NA,0,<img src='img/tf1_1_T1_ss3_md.jpeg'></img>,0,TRUE,NA,sub39
NA,html-keyboard-response,15,44727,0.0-10.0-0.1,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:28Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,16,47834,0.0-10.0-1.1,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",2497.9399999720044,<img style='border: 4px solid darkgrey;' src='img/tf1_2_M_ss1.jpeg'></img>,1,NA,exp,NA,0,<img src='img/tf1_2_T1_ss1_md.jpeg'></img>,0,TRUE,NA,sub39
NA,html-keyboard-response,17,48337,0.0-10.0-0.2,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:31Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,18,50418,0.0-10.0-1.2,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",1468.4199999901466,<img style='border: 4px solid darkgrey;' src='img/tf1_3_M_ss2.jpeg'></img>,2,NA,exp,NA,0,<img src='img/tf1_3_T1_ss2_md.jpeg'></img>,0,TRUE,NA,sub39
NA,html-keyboard-response,19,50922,0.0-10.0-0.3,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:34Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,20,53943,0.0-10.0-1.3,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",2413.6149999976624,<img style='border: 4px solid darkgrey;' src='img/tf1_4_M_ss3.jpeg'></img>,3,NA,exp,NA,0,<img src='img/tf1_4_T1_ss3_md.jpeg'></img>,0,TRUE,NA,sub39
NA,html-keyboard-response,21,54446,0.0-10.0-0.4,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:38Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,22,56832,0.0-10.0-1.4,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",1777.7049999858718,<img style='border: 4px solid darkgrey;' src='img/tf1_5_M_ss1.jpeg'></img>,1,NA,exp,NA,0,<img src='img/tf1_5_T1_ss1_md.jpeg'></img>,0,TRUE,NA,sub39
NA,html-keyboard-response,23,57336,0.0-10.0-0.5,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:40Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,24,63953,0.0-10.0-1.5,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",6006.745000020601,<img style='border: 4px solid darkgrey;' src='img/tf1_6_M_ss2.jpeg'></img>,3,NA,exp,NA,2,<img src='img/tf1_6_T1_ss2_md.jpeg'></img>,0,FALSE,NA,sub39
NA,html-keyboard-response,25,64456,0.0-10.0-0.6,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:48Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,26,67903,0.0-10.0-1.6,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",2839.780000009341,<img style='border: 4px solid darkgrey;' src='img/tf1_7_M_ss3.jpeg'></img>,2,NA,exp,NA,0,<img src='img/tf1_7_T1_ss3_md.jpeg'></img>,0,TRUE,NA,sub39
NA,html-keyboard-response,27,68406,0.0-10.0-0.7,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-13T16:11:51Z,NA,NA,NA,NA,NA,sub39
NA,mars-trial,28,72064,0.0-10.0-1.7,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
""fullscreenexit"",""2"",""7836""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3338""
","""event"",""trial"",""time""
""fullscreenexit"",""2"",""7836""
",3049.3849999911617,<img style='border: 4px solid darkgrey;' src='img/tf1_8_M_ss1.jpeg'></img>,2,NA,exp,NA,0,<img src='img/tf1_8_T1_ss1_md.jpeg'></img>,0,TRUE,NA,sub39
