subject_id,sex,age,WASI_rawVerbal,WASI_raw_MR,WASI_Verbal_T,WASI_MR_T,WASI_IQ
sub1,Female,17.05555556,41,23,62,59,118
sub2,Female,14.575,31,17,NA,NA,95
sub3,Male,13.91944444,NA,NA,NA,NA,NA
sub4,Male,12.29722222,38,19,74,55,105
sub5,Male,14.23888889,NA,NA,77,59,131
sub6,Female,12.15,36,22,67,63,126
sub7,Female,15.5,44,23,76,61,132
sub8,Male,17.59722222,40,24,59,61,117
sub9,Female,8.258333333,NA,NA,NA,NA,NA
sub10,Female,13.97222222,38,23,65,64,125
sub11,Female,10.41666667,27,6,60,34,94
sub12,Male,13.84166667,40,21,70,57,123
sub13,Male,10.45,NA,NA,NA,NA,NA
sub14,Male,15.81111111,39,21,62,54,114
sub15,Female,8.369444444,NA,NA,NA,NA,NA
sub16,Female,17.9,40,23,NA,NA,113
sub17,Female,10.66666667,25,13,NA,NA,103
sub18,Female,9.577777778,NA,NA,NA,NA,NA
sub19,Male,11.54722222,35,17,68,52,117
sub20,Male,11.31388889,26,6,51,30,84
sub21,Female,17.08611111,33,20,48,51,99
sub22,Female,16.61388889,41,21,62,53,113
sub23,Female,13.30277778,39,22,67,60,123
sub24,Male,15.45,NA,NA,NA,NA,NA
sub25,Male,9.808333333,23,7,58,41,99
sub26,Male,9.808333333,23,9,58,45,102
sub27,Female,15.91388889,NA,NA,NA,NA,NA
sub28,Male,13.36944444,28,19,47,53,100
sub29,Female,9.925,33,20,77,67,138
sub30,Male,10.16388889,32,19,73,63,131
sub31,Female,12.85833333,NA,NA,NA,NA,NA
sub32,Female,9.938888889,24,19,58,64,119
sub33,Female,8.797222222,33,10,77,45,119
sub34,Female,10.70555556,37,17,71,51,119
sub35,Male,14.18333333,45,27,78,77,148
sub36,Male,12.12777778,NA,NA,NA,NA,NA
sub37,Male,12.8,NA,NA,NA,NA,NA
sub38,Female,9.397222222,NA,NA,NA,NA,NA
sub39,Male,11.97222222,39,24,69,68,132
sub40,Female,11.40555556,NA,NA,NA,NA,NA
sub41,Male,8.513888889,NA,NA,NA,NA,NA
sub42,Male,12.36111111,35,20,63,56,119
sub43,Female,14.72777778,NA,NA,NA,NA,NA
sub44,Female,13.75,NA,NA,NA,NA,NA
sub45,Female,8.45,NA,NA,NA,NA,NA
sub46,Male,8.505555556,NA,NA,NA,NA,NA
sub47,Male,11.3,36,18,65,52,115
sub48,Male,14.26111111,37,18,58,47,106
sub49,Male,11.58611111,37,18,66,52,116
sub50,Male,14.92222222,41,19,64,48,110
sub51,Female,16.33055556,NA,NA,NA,NA,NA
sub52,Female,10.96111111,NA,NA,NA,NA,NA
sub53,Male,10.83888889,19,18,26,44,75
sub54,Male,13.43333333,42,26,70,75,139
sub55,Female,11.73888889,NA,NA,NA,NA,NA
sub56,Male,16.61388889,40,28,58,77,130
sub57,Female,14.70277778,33,25,50,70,117
sub58,Male,9.408333333,25,18,64,65,125
sub59,Male,15.11666667,NA,NA,NA,NA,NA
sub60,Male,16.71111111,NA,NA,NA,NA,NA
sub61,Female,9.080555556,NA,NA,NA,NA,NA
sub62,Female,17.22777778,NA,NA,NA,NA,NA
sub63,Female,16.16111111,NA,NA,NA,NA,NA
sub64,Male,8.213888889,NA,NA,NA,NA,NA
sub65,Female,17.69444444,NA,NA,NA,NA,NA
sub66,Male,16.72222222,NA,NA,NA,NA,NA
sub67,Male,17.63055556,NA,NA,NA,NA,NA
sub68,Female,14.83333333,NA,NA,NA,NA,NA
sub69,Female,16.96666667,NA,NA,NA,NA,NA
sub70,Female,16.93611111,NA,NA,NA,NA,NA
sub71,Female,15.25,NA,NA,NA,NA,NA
sub72,Male,16.63055556,NA,NA,NA,NA,NA
sub73,Male,15.70833333,35,19,51,48,99
sub74,Male,16.325,NA,NA,NA,NA,NA
sub75,Male,17.96666667,NA,NA,NA,NA,NA
sub76,Female,13.22777778,NA,NA,NA,NA,NA
sub77,Female,15.07777778,NA,NA,NA,NA,NA
sub78,Male,13.84166667,NA,NA,NA,NA,NA
sub79,Female,13.35555556,NA,NA,NA,NA,NA
sub80,Female,16.93611111,NA,NA,NA,NA,NA
sub81,Female,12.78611111,NA,NA,NA,NA,NA
sub82,Female,12.34444444,NA,NA,NA,NA,NA
sub83,Male,14.45833333,NA,NA,NA,NA,NA
sub84,Male,8.302777778,NA,NA,NA,NA,NA
sub85,Male,17.78611111,NA,NA,NA,NA,NA
sub86,Male,11.24722222,NA,NA,NA,NA,NA
sub87,Male,12.02777778,NA,NA,NA,NA,NA
sub88,Male,17.29722222,NA,NA,NA,NA,NA
sub89,Male,8.102777778,NA,NA,NA,NA,NA
sub90,Male,9.572222222,NA,NA,NA,NA,NA
sub91,Male,15.28055556,NA,NA,NA,NA,NA
sub92,Male,10.00833333,NA,NA,NA,NA,NA
sub93,Female,8.094444444,NA,NA,NA,NA,NA
sub94,Male,10.89166667,NA,NA,NA,NA,NA
sub95,Female,11.26388889,NA,NA,NA,NA,NA
sub96,Female,11.375,NA,NA,NA,NA,NA
sub97,Female,11.03611111,NA,NA,NA,NA,NA
sub98,Female,14.79166667,NA,NA,NA,NA,NA
sub99,Female,12.40555556,NA,NA,NA,NA,NA
sub100,Female,10.71666667,NA,NA,NA,NA,
sub101,Female,18.47777778,NA,NA,NA,NA,NA
sub102,Female,18.24722222,NA,NA,NA,NA,NA
sub103,Female,18.77222222,NA,NA,NA,NA,NA
sub104,Female,19.88055556,NA,NA,NA,NA,NA
sub105,Male,18.56111111,NA,NA,NA,NA,NA
sub106,Male,25.01944444,NA,NA,NA,NA,NA
sub107,Female,19.84722222,NA,NA,NA,NA,NA
sub108,Male,20.25555556,NA,NA,NA,NA,NA
sub109,Female,21.52777778,NA,NA,NA,NA,NA
sub110,Male,23.40277778,NA,NA,NA,NA,NA
sub111,Male,21.33611111,NA,NA,NA,NA,NA
sub112,Male,21.35277778,NA,NA,NA,NA,NA
sub113,Male,22.72222222,NA,NA,NA,NA,NA
sub114,Male,23.16388889,NA,NA,NA,NA,NA
sub115,Male,24.38333333,NA,NA,NA,NA,NA
sub116,Male,18.35277778,NA,NA,NA,NA,NA
sub117,Female,20.03333333,NA,NA,NA,NA,NA
sub118,Female,24.66666667,NA,NA,NA,NA,NA
sub119,Male,22.95833333,NA,NA,NA,NA,NA
sub120,Female,23.34166667,NA,NA,NA,NA,NA
sub121,Male,20.45555556,NA,NA,NA,NA,NA
sub122,Male,22.6,NA,NA,NA,NA,NA
sub123,Male,20.02777778,NA,NA,NA,NA,NA
sub124,Male,19.25277778,NA,NA,NA,NA,NA
sub125,Female,19.80277778,NA,NA,NA,NA,NA
sub126,Female,21.48055556,NA,NA,NA,NA,NA
sub127,Male,23.35833333,NA,NA,NA,NA,NA
sub128,Male,18.61111111,NA,NA,NA,NA,NA
sub129,Male,19.55277778,NA,NA,NA,NA,NA
sub130,Female,23.81388889,NA,NA,NA,NA,NA
sub131,Female,22.87222222,NA,NA,NA,NA,NA
sub132,Female,19.77222222,NA,NA,NA,NA,NA
sub133,Female,25.69166667,NA,NA,NA,NA,NA
sub134,Male,21.475,34,26,45,66,109
sub135,Female,25.21388889,39,21,NA,NA,102
sub136,Female,20.89444444,NA,NA,NA,NA,NA
sub137,Female,25.275,NA,NA,NA,NA,NA
sub138,Female,24.06111111,NA,NA,NA,NA,NA
sub139,Female,23.025,NA,NA,NA,NA,NA
sub140,Female,25.25833333,NA,NA,NA,NA,NA
sub141,Female,22.38888889,NA,NA,NA,NA,NA
sub142,Female,20.425,41,21,57,51,108
sub143,Female,21.91666667,NA,NA,NA,NA,NA
sub144,Male,25.49722222,38,23,50,54,103
sub145,Male,25.25277778,NA,NA,NA,NA,NA
sub146,Female,20.45277778,NA,NA,NA,NA,NA
sub147,Male,19.80555556,41,19,57,46,102
