subject_id,practice_trial,age,trial,transition,reward,choice_1,choice_2,rt_1,rt_2,previous_reward,previous_transition,previous_choice,stay,age_group
sub1,real,17.05555556,10,common,1,1,2,263.55000003241,554.3850001413375,Reward,common,1,1,Adolescents
sub1,real,17.05555556,11,rare,0,1,2,433.8150001130998,1334.8600000608712,Reward,common,1,1,Adolescents
sub1,real,17.05555556,12,common,0,1,2,352.5000000372529,753.2200000714511,No Reward,rare,1,1,Adolescents
sub1,real,17.05555556,13,rare,0,2,2,541.8599999975413,1374.0049998741597,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,14,common,0,1,1,273.30999984405935,1316.530000185594,No Reward,rare,2,0,Adolescents
sub1,real,17.05555556,15,common,0,2,2,321.76500000059605,1042.0050001703203,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,16,common,0,2,1,277.765000006184,622.1099998801947,No Reward,common,2,1,Adolescents
sub1,real,17.05555556,17,common,1,1,2,404.8149997834116,758.0500000622123,No Reward,common,2,0,Adolescents
sub1,real,17.05555556,18,common,0,1,2,309.8649999592453,473.93500013276935,Reward,common,1,1,Adolescents
sub1,real,17.05555556,19,common,0,1,1,308.930000057444,478.0899998731911,No Reward,common,1,1,Adolescents
sub1,real,17.05555556,20,common,0,1,2,277.8900000266731,422.34999989159405,No Reward,common,1,1,Adolescents
sub1,real,17.05555556,21,common,1,2,2,722.150000045076,925.6049999967217,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,22,rare,1,2,2,438.6400000657886,551.1799999512732,Reward,common,2,1,Adolescents
sub1,real,17.05555556,23,common,0,2,2,547.9150000028312,547.8550000116229,Reward,rare,2,1,Adolescents
sub1,real,17.05555556,24,common,0,1,2,282.6050000730902,475.1299999188632,No Reward,common,2,0,Adolescents
sub1,real,17.05555556,25,common,1,2,2,422.9399999603629,325.4999998025596,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,26,common,1,2,2,284.41000008024275,381.8099999334663,Reward,common,2,1,Adolescents
sub1,real,17.05555556,27,rare,1,1,2,307.5749999843538,301.41500011086464,Reward,common,2,0,Adolescents
sub1,real,17.05555556,28,rare,1,2,2,261.6900000721216,789.2700000666082,Reward,rare,1,0,Adolescents
sub1,real,17.05555556,29,common,1,1,2,315.8050000201911,579.9349998123944,Reward,rare,2,0,Adolescents
sub1,real,17.05555556,30,common,0,1,2,258.75500007532537,386.83999981731176,Reward,common,1,1,Adolescents
sub1,real,17.05555556,31,common,1,2,2,265.54500008933246,448.43999994918704,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,32,rare,0,2,2,263.52500007487833,360.70499988272786,Reward,common,2,1,Adolescents
sub1,real,17.05555556,33,rare,0,1,2,1269.4900000933558,340.0099999271333,No Reward,rare,2,0,Adolescents
sub1,real,17.05555556,34,common,0,1,2,331.5050001256168,404.27000005729496,No Reward,rare,1,1,Adolescents
sub1,real,17.05555556,35,common,0,2,2,843.2550001889467,472.22999995574355,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,36,rare,1,1,2,29.229999985545874,332.16500002890825,No Reward,common,2,0,Adolescents
sub1,real,17.05555556,37,common,1,1,2,504.8149998765439,831.7399998195469,Reward,rare,1,1,Adolescents
sub1,real,17.05555556,38,rare,1,1,2,268.92500021494925,405.9750000014901,Reward,common,1,1,Adolescents
sub1,real,17.05555556,39,rare,0,1,2,364.2550001386553,508.34499998018146,Reward,rare,1,1,Adolescents
sub1,real,17.05555556,40,common,1,1,2,291.3200000766665,627.1949999500066,No Reward,rare,1,1,Adolescents
sub1,real,17.05555556,41,common,0,1,2,142.73000019602478,355.77999986708164,Reward,common,1,1,Adolescents
sub1,real,17.05555556,42,common,0,1,2,816.080000018701,440.35499985329807,No Reward,common,1,1,Adolescents
sub1,real,17.05555556,43,rare,1,2,2,276.20500000193715,274.34500004164875,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,44,common,0,2,2,308.3399999886751,613.7650001328439,Reward,rare,2,1,Adolescents
sub1,real,17.05555556,45,common,0,1,2,423.5000000335276,683.1749998964369,No Reward,common,2,0,Adolescents
sub1,real,17.05555556,46,common,1,2,2,535.3649999015033,423.4449998475611,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,47,common,1,1,2,344.0849999897182,389.5799999590963,Reward,common,2,0,Adolescents
sub1,real,17.05555556,48,common,1,1,2,362.4849999323487,375.7949999999255,Reward,common,1,1,Adolescents
sub1,real,17.05555556,49,rare,0,1,2,284.57999997772276,421.7699998989701,Reward,common,1,1,Adolescents
sub1,real,17.05555556,50,common,1,2,2,317.85500003024936,857.5800000689924,No Reward,rare,1,0,Adolescents
sub1,real,17.05555556,51,rare,0,2,2,955.9400000143796,511.5200001746416,Reward,common,2,1,Adolescents
sub1,real,17.05555556,52,common,1,2,2,527.4400000926107,587.9250001162291,No Reward,rare,2,1,Adolescents
sub1,real,17.05555556,53,rare,0,2,1,318.60000011511147,1221.129999961704,Reward,common,2,1,Adolescents
sub1,real,17.05555556,54,rare,1,1,2,611.5699999500066,350.73000006377697,No Reward,rare,2,0,Adolescents
sub1,real,17.05555556,55,common,1,2,2,390.54000005126,336.6150001529604,Reward,rare,1,0,Adolescents
sub1,real,17.05555556,56,rare,0,2,2,533.2799998577684,940.1750001125038,Reward,common,2,1,Adolescents
sub1,real,17.05555556,57,common,0,2,2,461.60499984398484,612.6200000289828,No Reward,rare,2,1,Adolescents
sub1,real,17.05555556,58,common,0,1,2,296.99499998241663,35.685000009834766,No Reward,common,2,0,Adolescents
sub1,real,17.05555556,59,common,1,2,2,308.54499991983175,280.060000019148,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,60,common,0,2,2,385.72999997995794,386.9349998421967,Reward,common,2,1,Adolescents
sub1,real,17.05555556,61,rare,1,2,2,275.11500008404255,297.6600001566112,No Reward,common,2,1,Adolescents
sub1,real,17.05555556,62,rare,1,2,2,300.9949999395758,394.05500004068017,Reward,rare,2,1,Adolescents
sub1,real,17.05555556,63,rare,1,2,2,367.1499998308718,280.23499995470047,Reward,rare,2,1,Adolescents
sub1,real,17.05555556,64,common,0,2,2,331.03500003926456,1070.6899999640882,Reward,rare,2,1,Adolescents
sub1,real,17.05555556,65,common,0,1,2,286.6650000214577,359.5699998550117,No Reward,common,2,0,Adolescents
sub1,real,17.05555556,66,common,0,2,2,323.5049999784678,364.1800000332296,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,67,common,1,2,2,459.2450000345707,346.5749998576939,No Reward,common,2,1,Adolescents
sub1,real,17.05555556,68,rare,0,2,2,335.74000000953674,518.9000000245869,Reward,common,2,1,Adolescents
sub1,real,17.05555556,69,common,0,1,1,214.7499998100102,776.4649998862296,No Reward,rare,2,0,Adolescents
sub1,real,17.05555556,70,common,1,2,2,867.7300000563264,339.2649998422712,No Reward,common,1,0,Adolescents
sub1,real,17.05555556,71,rare,0,2,2,622.3549998831004,704.3749999720603,Reward,common,2,1,Adolescents
sub1,real,17.05555556,72,common,1,2,2,334.6150000579655,611.6100000217557,No Reward,rare,2,1,Adolescents
sub1,real,17.05555556,73,common,0,2,2,303.94999985583127,332.5149999000132,Reward,common,2,1,Adolescents
sub1,real,17.05555556,74,rare,0,2,2,1095.9749999456108,361.03500006720424,No Reward,common,2,1,Adolescents
sub1,real,17.05555556,75,rare,1,1,2,590.0099999271333,762.2950000222772,No Reward,rare,2,0,Adolescents
sub1,real,17.05555556,76,common,1,1,2,431.370000122115,859.1750001069158,Reward,rare,1,1,Adolescents
sub1,real,17.05555556,77,common,1,2,2,908.0650000832975,540.8199999947101,Reward,common,1,0,Adolescents
sub1,real,17.05555556,78,common,0,2,2,310.8850000426173,392.214999999851,Reward,common,2,1,Adolescents
sub1,real,17.05555556,79,common,1,2,2,326.89999998547137,373.579999897629,No Reward,common,2,1,Adolescents
sub1,real,17.05555556,80,rare,0,2,2,349.22000020742416,776.0350001044571,Reward,common,2,1,Adolescents
sub1,real,17.05555556,81,rare,0,2,2,350.67999991588295,407.15500013902783,No Reward,rare,2,1,Adolescents
sub1,real,17.05555556,82,rare,0,1,2,386.8050000164658,653.4899999387562,No Reward,rare,2,0,Adolescents
sub1,real,17.05555556,83,common,1,2,2,294.8900000192225,645.8899998106062,No Reward,rare,1,0,Adolescents
sub1,real,17.05555556,84,rare,0,2,2,1984.1299999970943,641.4550000336021,Reward,common,2,1,Adolescents
sub1,real,17.05555556,85,common,0,1,2,266.9150000438094,490.25000003166497,No Reward,rare,2,0,Adolescents
sub1,real,17.05555556,86,rare,0,1,1,700.2549997996539,443.7600001692772,No Reward,common,1,1,Adolescents
