trial_type,trial_index,time_elapsed,internal_node_id,rocket_sides,red_planet_first_rocket,red_display_order,purple_display_order,interactions,blur_events,focus_events,fullscreenenter_events,fullscreenexit_events,rt,stimulus,key_press,button_pressed,success,duration,valid_pressed,rts,keys,planet_text,right_text,left_text,center_text,chosen_text,reward_text,trial_stage,practice_trial,transition_type,choice,transition,reward,timestamp,subject_id
pavlovia,0,5,0.0-0.0,FALSE,TRUE,TRUE,FALSE,"
","
","
","
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
html-keyboard-response,1,996,0.0-1.0,FALSE,TRUE,TRUE,FALSE,"
","
","
","
","
",990.0500000221655,Welcome! Press the space bar to begin.,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
audio-keyboard-response,2,3505,0.0-2.0,FALSE,TRUE,TRUE,FALSE,"
","
","
","
","
",1811,audio/beep_loop.wav,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
audio-button-response,3,5114,0.0-3.0,FALSE,TRUE,TRUE,FALSE,"
","
","
","
","
",NaN,audio/fish.mp3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
audio-button-response,4,7630,0.0-4.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NaN,audio/tiger.mp3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
fullscreen,5,11443,0.0-5.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,6,23628,0.0-6.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,7,30603,0.0-7.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,8,37114,0.0-8.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,9,47957,0.0-9.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,10,63089,0.0-10.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-animate-choice,11,67034,0.0-11.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",1931.815000018105,NA,49,NA,NA,3000,1,"2862.699999997858,3737.390000023879",4849,images/tutgreenplanet.jpg,images/tutalien1,images/tutalien2,null,images/tutalien2,NA,NA,practice,null,NA,NA,NA,NA,sub119
d3-animate-choice,12,69493,0.0-12.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",445.9350000252016,NA,48,NA,NA,3000,1,NA,NA,images/tutgreenplanet.jpg,images/tutalien1,images/tutalien2,null,images/tutalien1,NA,NA,practice,null,NA,NA,NA,NA,sub119
d3-animate-choice,13,72253,0.0-13.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",756.7949999938719,NA,49,NA,NA,3000,1,2359.0599999879487,48,images/tutgreenplanet.jpg,images/tutalien1,images/tutalien2,null,images/tutalien2,NA,NA,practice,null,NA,NA,NA,NA,sub119
d3-animate-choice,14,74533,0.0-14.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",267.8500000038184,NA,48,NA,NA,3000,1,NA,NA,images/tutgreenplanet.jpg,images/tutalien1,images/tutalien2,null,images/tutalien1,NA,NA,practice,null,NA,NA,NA,NA,sub119
d3-instructions,15,83434,0.0-15.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,16,88251,0.0-16.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,17,94364,0.0-17.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,18,105935,0.0-18.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-instructions,19,114925,0.0-19.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub119
d3-animate-choice,20,117593,0.0-20.0,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""10451""
","
",645.5100000021048,NA,49,NA,NA,3000,1,NA,NA,images/tutyellowplanet.jpg,null,images/tutalien3,null,images/tutalien3,images/t.png,NA,practice,null,NA,NA,NA,NA,sub119
