trial_type,trial_index,time_elapsed,internal_node_id,rocket_sides,red_planet_first_rocket,red_display_order,purple_display_order,interactions,blur_events,focus_events,fullscreenenter_events,fullscreenexit_events,rt,stimulus,key_press,button_pressed,success,duration,valid_pressed,rts,keys,planet_text,right_text,left_text,center_text,chosen_text,reward_text,trial_stage,practice_trial,transition_type,reward,timestamp,choice,transition,subject_id
pavlovia,0,23,0.0-0.0,TRUE,TRUE,FALSE,TRUE,"
","
","
","
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
html-keyboard-response,1,8353,0.0-1.0,TRUE,TRUE,FALSE,TRUE,"
","
","
","
","
",8329.28999979049,Welcome! Press the space bar to begin.,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
audio-keyboard-response,2,17245,0.0-2.0,TRUE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""blur"",""3"",""47706""
""focus"",""3"",""226763""
""blur"",""3"",""233877""
""focus"",""3"",""235992""
","""event"",""trial"",""time""
""blur"",""3"",""47706""
""blur"",""3"",""233877""
","""event"",""trial"",""time""
""focus"",""3"",""226763""
""focus"",""3"",""235992""
","
","
",5541,audio/beep_loop.wav,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
audio-button-response,3,246139,0.0-3.0,TRUE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""blur"",""3"",""47706""
""focus"",""3"",""226763""
""blur"",""3"",""233877""
""focus"",""3"",""235992""
","""event"",""trial"",""time""
""blur"",""3"",""47706""
""blur"",""3"",""233877""
","""event"",""trial"",""time""
""focus"",""3"",""226763""
""focus"",""3"",""235992""
","
","
",NaN,audio/fish.mp3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
audio-button-response,4,250099,0.0-4.0,TRUE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""blur"",""3"",""47706""
""focus"",""3"",""226763""
""blur"",""3"",""233877""
""focus"",""3"",""235992""
""fullscreenenter"",""5"",""267351""
","""event"",""trial"",""time""
""blur"",""3"",""47706""
""blur"",""3"",""233877""
","""event"",""trial"",""time""
""focus"",""3"",""226763""
""focus"",""3"",""235992""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""267351""
","
",NaN,audio/tiger.mp3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
fullscreen,5,268168,0.0-5.0,TRUE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""blur"",""3"",""47706""
""focus"",""3"",""226763""
""blur"",""3"",""233877""
""focus"",""3"",""235992""
""fullscreenenter"",""5"",""267351""
","""event"",""trial"",""time""
""blur"",""3"",""47706""
""blur"",""3"",""233877""
","""event"",""trial"",""time""
""focus"",""3"",""226763""
""focus"",""3"",""235992""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""267351""
","
",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
d3-instructions,6,285451,0.0-6.0,TRUE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""blur"",""3"",""47706""
""focus"",""3"",""226763""
""blur"",""3"",""233877""
""focus"",""3"",""235992""
""fullscreenenter"",""5"",""267351""
","""event"",""trial"",""time""
""blur"",""3"",""47706""
""blur"",""3"",""233877""
","""event"",""trial"",""time""
""focus"",""3"",""226763""
""focus"",""3"",""235992""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""267351""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
d3-instructions,7,296117,0.0-7.0,TRUE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""blur"",""3"",""47706""
""focus"",""3"",""226763""
""blur"",""3"",""233877""
""focus"",""3"",""235992""
""fullscreenenter"",""5"",""267351""
","""event"",""trial"",""time""
""blur"",""3"",""47706""
""blur"",""3"",""233877""
","""event"",""trial"",""time""
""focus"",""3"",""226763""
""focus"",""3"",""235992""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""267351""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
d3-instructions,8,306208,0.0-8.0,TRUE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""blur"",""3"",""47706""
""focus"",""3"",""226763""
""blur"",""3"",""233877""
""focus"",""3"",""235992""
""fullscreenenter"",""5"",""267351""
","""event"",""trial"",""time""
""blur"",""3"",""47706""
""blur"",""3"",""233877""
","""event"",""trial"",""time""
""focus"",""3"",""226763""
""focus"",""3"",""235992""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""267351""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
d3-instructions,9,319449,0.0-9.0,TRUE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""blur"",""3"",""47706""
""focus"",""3"",""226763""
""blur"",""3"",""233877""
""focus"",""3"",""235992""
""fullscreenenter"",""5"",""267351""
","""event"",""trial"",""time""
""blur"",""3"",""47706""
""blur"",""3"",""233877""
","""event"",""trial"",""time""
""focus"",""3"",""226763""
""focus"",""3"",""235992""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""267351""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub64
