success,trial_type,trial_index,time_elapsed,internal_node_id,interactions,blur_events,focus_events,fullscreenenter_events,fullscreenexit_events,rt,stimulus,button_pressed,key_press,part,timestamp,unshuffled_button,correct_response,correct_button,correct,value,subject_id
TRUE,fullscreen,0,4423,0.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub117
NA,pavlovia,1,4442,0.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub117
NA,html-button-response,2,5761,0.0-2.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",1309.3250000383705,<p>Welcome! Press START to begin.</p><br>,0,NA,NA,NA,NA,NA,NA,NA,NA,sub117
NA,audio-button-response,3,17004,0.0-3.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",11230.30000005383,audio/mars_instructions_slide2.wav,0,NA,NA,NA,NA,NA,NA,NA,NA,sub117
NA,audio-button-response,4,24028,0.0-4.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",7014.815000002272,audio/mars_instructions_slide3.wav,0,NA,NA,NA,NA,NA,NA,NA,NA,sub117
NA,html-keyboard-response,5,24536,0.0-5.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-20T19:00:58Z,NA,NA,NA,NA,NA,sub117
NA,mars-trial,6,35204,0.0-5.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",8542.19499998726,<img style='border: 4px solid darkgrey;' src='practice/pt1_M1.png'></img>,3,NA,practice,NA,0,<img src='practice/pt1_T1.png'></img>,0,TRUE,NA,sub117
NA,html-keyboard-response,7,35718,0.0-6.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-20T19:01:09Z,NA,NA,NA,NA,NA,sub117
NA,mars-trial,8,40247,0.0-6.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",2405.3749999729916,<img style='border: 4px solid darkgrey;' src='practice/pt2_M1.png'></img>,0,NA,practice,NA,0,<img src='practice/pt2_T1.png'></img>,0,TRUE,NA,sub117
NA,html-keyboard-response,9,40757,0.0-7.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-20T19:01:14Z,NA,NA,NA,NA,NA,sub117
NA,mars-trial,10,44532,0.0-7.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",1644.3200000794604,<img style='border: 4px solid darkgrey;' src='practice/pt3_M1.png'></img>,3,NA,practice,NA,0,<img src='practice/pt3_T1.png'></img>,0,TRUE,NA,sub117
NA,audio-button-response,11,47367,0.0-8.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",2828.529999940656,audio/mars_instructions_slide4.wav,0,NA,NA,NA,NA,NA,NA,NA,NA,sub117
NA,call-function,12,47372,0.0-9.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub117
NA,html-keyboard-response,13,47877,0.0-10.0-0.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-20T19:01:21Z,NA,NA,NA,NA,NA,sub117
NA,mars-trial,14,50078,0.0-10.0-1.0,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",1574.350000009872,<img style='border: 4px solid darkgrey;' src='img/tf1_1_M_ss3.jpeg'></img>,1,NA,exp,NA,0,<img src='img/tf1_1_T1_ss3_md.jpeg'></img>,0,TRUE,NA,sub117
NA,html-keyboard-response,15,50584,0.0-10.0-0.1,"""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3467""
","
",null,"<div style=""font-size:60px;"">+</div>",NA,null,fixation,2020-06-20T19:01:24Z,NA,NA,NA,NA,NA,sub117
