subID	age_group	age	sex	acc	med_rt	med_rt_correct	se_rt	fast_rt	browser_interactions	inv_e	num_trials	WASI_rawVerbal	WASI_raw_MR	WASI_Verbal_T	WASI_MR_T	WASI_IQ
sub1	Older adolescents	17.05555556	Female	0.58	7706.354999914765	6096.56500001438	786.576918632343	0	2	13286.818965370287	50	41	23	62	59	118
sub10	Mid adolescents	13.97222222	Female	0.7058823529411765	12091.015000012703	8909.497499989811	1337.2210937526972	0	2	17128.937916684663	34	38	23	65	64	125
sub100	Children	10.71666667	Female	0.4	498.38999999972293	581.0950000004523	81.46288210835495	17	6	1245.9749999993073	80	NA	NA	NA	NA	NA
sub101	Adults	18.47777778	Female	0.55	4888.819999992847	4566.102499957196	213.75020571825942	0	1	8888.763636350632	80	NA	NA	NA	NA	NA
sub102	Adults	18.24722222	Female	0.4	6510.9250000678	5205.870000005234	1092.5150914906355	0	1	16277.3125001695	45	NA	NA	NA	NA	NA
sub103	Adults	18.77222222	Female	0.35384615384615387	3248.1175000000803	4622.719999999856	742.8603561463584	0	6	9179.462500000227	65	NA	NA	NA	NA	NA
sub104	Adults	19.88055556	Female	0.7027027027027027	8905.927499999962	6915.899999999958	1206.1133029215946	0	2	12673.819903846099	37	NA	NA	NA	NA	NA
sub105	Adults	18.56111111	Male	0.6666666666666666	16577.894999994896	13041.624999998021	1678.0575980383273	0	1	24866.842499992345	27	NA	NA	NA	NA	NA
sub106	Adults	25.01944444	Male	0.3125	435.26749999728054	500.02999999560416	95.6071785410739	5	1	1392.8559999912977	80	NA	NA	NA	NA	NA
sub107	Adults	19.84722222	Female	0.6388888888888888	11526.775000000256	8583.785000000265	1294.169224739792	0	1	18041.908695652575	36	NA	NA	NA	NA	NA
sub108	Adults	20.25555556	Male	0.4	3118.6724999861326	2940.6599999929313	277.4051578474663	0	1	7796.6812499653315	80	NA	NA	NA	NA	NA
sub109	Adults	21.52777778	Female	0.4444444444444444	7806.56000005547	5123.249999945983	678.6996970129115	0	1	17564.760000124807	54	NA	NA	NA	NA	NA
sub11	Children	10.41666667	Female	0.23376623376623376	4026	3626.5	365.9249478113622	0	1	17222.333333333332	77	27	6	60	34	94
sub110	Adults	23.40277778	Male	0.7209302325581395	9991	9589	895.0350429598886	0	2	13858.483870967742	43	NA	NA	NA	NA	NA
sub111	Adults	21.33611111	Male	0.5925925925925926	7571.284999983618	6579.825000007986	554.7136434772568	0	6	12776.543437472355	54	NA	NA	NA	NA	NA
sub112	Adults	21.35277778	Male	0.6551724137931034	13352.357499999925	15860.92000012286	1762.9791628095463	0	1	20379.914078947255	29	NA	NA	NA	NA	NA
sub113	Adults	22.72222222	Male	0.375	1912.4874999833992	2277.407499990659	440.9381805825313	0	1	5099.9666666223975	80	NA	NA	NA	NA	NA
sub114	Adults	23.16388889	Male	0.8666666666666667	9563	9530	815.0308016686571	0	2	11034.23076923077	45	NA	NA	NA	NA	NA
sub115	Adults	24.38333333	Male	0.9487179487179487	11308.18999999974	11246.390000000247	1044.1464060719798	0	2	11919.44351351324	39	NA	NA	NA	NA	NA
sub116	Adults	18.35277778	Male	0.725	11252.5499999756	11600.864999985788	936.5478916266404	0	1	15520.758620655999	40	NA	NA	NA	NA	NA
sub117	Adults	20.03333333	Female	0.6388888888888888	11570.835000020452	11026.255000033416	1257.642735621458	0	1	18110.872173945056	36	NA	NA	NA	NA	NA
sub118	Adults	24.66666667	Female	0.8378378378378378	10682.982500002254	9092.249999986961	1275.451964750345	0	2	12750.656532260755	37	NA	NA	NA	NA	NA
sub119	Adults	22.95833333	Male	0.6222222222222222	8767.982499994105	7427.587499987567	806.5029878461836	0	1	14091.400446419097	45	NA	NA	NA	NA	NA
sub12	Mid adolescents	13.84166667	Male	0.6590909090909091	9580.87499999965	7491.105000008247	927.5774209480604	0	1	14536.49999999947	44	40	21	70	57	123
sub120	Adults	23.34166667	Female	0.48717948717948717	10704.04499999946	8864.860000000583	974.7666857925427	0	2	21971.460789472574	39	NA	NA	NA	NA	NA
sub121	Adults	20.45555556	Male	0.4375	2252.009999996517	3132.8099999809638	284.26500565271226	0	5	5147.451428563467	80	NA	NA	NA	NA	NA
sub122	Adults	22.6	Male	0.53125	13212.455000000773	6287.949999998091	1694.1373823790175	0	1	24870.50352941322	32	NA	NA	NA	NA	NA
sub123	Adults	20.02777778	Male	0.5111111111111111	9398.589999997057	9143.339999995078	777.2811247443947	0	1	18388.545652168155	45	NA	NA	NA	NA	NA
sub124	Adults	19.25277778	Male	0.4375	7676.59500008449	5554.575000191107	1050.0871950334197	0	1	17546.502857335978	48	NA	NA	NA	NA	NA
sub125	Adults	19.80277778	Female	0.2875	484.9274999978661	968.6175000024377	260.97591736140754	14	2	1686.704347818665	80	NA	NA	NA	NA	NA
sub126	Adults	21.48055556	Female	0.6206896551724138	14584.024999989197	13349.177500000224	1814.9770259592178	0	1	23496.484722204816	29	NA	NA	NA	NA	NA
sub127	Adults	23.35833333	Male	0.8214285714285714	16539.70500000287	15123.224999988452	1881.725224509128	0	1	20135.293043481754	28	NA	NA	NA	NA	NA
sub128	Adults	18.61111111	Male	0.3125	577.8474999999598	2661.2124999999214	419.05524363471113	12	1	1849.1119999998714	80	NA	NA	NA	NA	NA
sub129	Adults	19.55277778	Male	0.5125	3282	3388	264.2231871927916	0	2	6403.902439024391	80	NA	NA	NA	NA	NA
sub13	Children	10.45	Male	0.48717948717948717	7651.5125000005355	6952.990000005229	1179.0296399915987	0	1	15705.736184211626	39	NA	NA	NA	NA	NA
sub130	Adults	23.81388889	Female	0.5142857142857142	12018.677500003832	8111.532499999157	1463.1136193020006	0	1	23369.6506944519	35	NA	NA	NA	NA	NA
sub131	Adults	22.87222222	Female	0.4528301886792453	8265.037500008475	5078.670000017155	665.7460218650418	0	2	18251.957812518714	53	NA	NA	NA	NA	NA
sub132	Adults	19.77222222	Female	0.6904761904761905	9209.03000002727	9891.53499994427	1180.6199825947292	0	3	13337.215862108458	42	NA	NA	NA	NA	NA
sub133	Adults	25.69166667	Female	0.75	11677	7648	1265.9775144649498	0	1	15569.333333333334	36	NA	NA	NA	NA	NA
sub134	Adults	21.475	Male	0.3625	1770	1903	224.6599757148273	1	2	4882.758620689655	80	34	26	45	66	109
sub135	Adults	25.21388889	Female	0.7096774193548387	14416.595000000583	12269.282499999892	1598.0983532365035	0	1	20314.292954546276	31	39	21	NA	NA	102
sub136	Adults	20.89444444	Female	0.6764705882352942	14721.254999982193	12107.614999986254	1441.0205927601166	0	2	21761.85521736498	34	NA	NA	NA	NA	NA
sub137	Adults	25.275	Female	0.6296296296296297	15375.98499993328	13559.189999941736	1870.2529368138423	0	1	24420.68205871756	27	NA	NA	NA	NA	NA
sub138	Adults	24.06111111	Female	0.6595744680851063	8993.379999999888	8922.22000000038	840.955381286984	0	2	13635.124516128864	47	NA	NA	NA	NA	NA
sub139	Adults	23.025	Female	0.6	6913.912500021979	6291.220000013709	547.9209840090488	0	2	11523.187500036633	55	NA	NA	NA	NA	NA
sub14	Mid adolescents	15.81111111	Male	0.35	1480.837499955669	3967.7924999268726	719.973872698728	2	1	4230.964285587626	80	39	21	62	54	114
sub140	Adults	25.25833333	Female	0.7714285714285715	11840.482500003418	11099.849999998696	1203.9762911335479	0	2	15348.773611115541	35	NA	NA	NA	NA	NA
sub141	Adults	22.38888889	Female	0.7142857142857143	9221.260000000242	8270.40999999916	1084.1259536282223	0	1	12909.76400000034	42	NA	NA	NA	NA	NA
sub142	Adults	20.425	Female	0.4	3151.6924999887124	3661.3075000350364	214.49003135920523	0	2	7879.231249971781	80	41	21	57	51	108
sub143	Adults	21.91666667	Female	0.775	10377.110000001267	9514.80000000447	955.0583060177335	0	2	13389.819354840343	40	NA	NA	NA	NA	NA
sub144	Adults	25.49722222	Male	0.325	372.7349999990256	2852.0399999997608	836.2857768099439	35	5	1146.876923073925	80	38	23	50	54	103
sub145	Adults	25.25277778	Male	0.6153846153846154	10091.862499946728	8454.154999984894	1162.4748318125855	0	2	16399.276562413434	39	NA	NA	NA	NA	NA
sub146	Adults	20.45277778	Female	0.4375	802	1160	418.5389286462204	0	1	1833.142857142857	80	NA	NA	NA	NA	NA
sub147	Adults	19.80555556	Male	0.6274509803921569	7267.187500001455	6278.839999999036	725.0651346770712	0	1	11582.08007812732	51	41	19	57	46	102
sub148	Adults	25.18055556	Male	0.7352941176470589	12996.169999998529	13376.809999987017	1173.1944348869304	0	1	17674.791199998	34	NA	NA	NA	NA	NA
sub149	Adults	22.35555556	Female	0.813953488372093	9462.500000000007	8181.999999999942	905.2721135546306	0	2	11625.357142857152	43	NA	NA	NA	NA	NA
