0,1,2,3
0.26052,0.25313,0.57306,0.35323
0.25295,0.25009,0.59966,0.29263
0.26816,0.26115,0.60144,0.28756
0.26576,0.32039,0.58775,0.29673
0.27602,0.33111,0.64116,0.25016
0.27137,0.31467,0.64929,0.25536
0.25649,0.31641,0.62689,0.28074
0.30218,0.27779,0.65649,0.27709
0.30737,0.27513,0.6401,0.31764
0.33321,0.25063,0.63322,0.3061
0.33748,0.29904,0.59121,0.34989
0.35778,0.29655,0.61213,0.35196
0.37011,0.32894,0.61162,0.37354
0.37554,0.31523,0.56785,0.40502
0.38442,0.29983,0.6006,0.42994
0.40879,0.27252,0.53938,0.42564
0.35849,0.27836,0.52301,0.41138
0.33025,0.32078,0.51475,0.41347
0.35006,0.31932,0.49082,0.39385
0.40367,0.33074,0.47838,0.36133
0.45549,0.36745,0.45947,0.3544
0.46073,0.34374,0.43494,0.35261
0.50475,0.40863,0.42462,0.36085
0.57442,0.41542,0.39759,0.29498
0.52563,0.43013,0.43847,0.28679
0.48376,0.41921,0.44616,0.27801
0.54418,0.4239,0.47321,0.27737
0.53103,0.3841,0.49075,0.26443
0.54316,0.37274,0.46006,0.25822
0.5944,0.37319,0.46989,0.32548
0.62537,0.35367,0.45397,0.28958
0.67873,0.35946,0.45218,0.31813
0.67839,0.34555,0.43863,0.3292
0.6556,0.35169,0.45542,0.34827
0.66521,0.33723,0.47105,0.34811
0.69771,0.31966,0.42312,0.32843
0.67202,0.32004,0.45764,0.38078
0.71485,0.32286,0.50236,0.42283
0.67589,0.31275,0.46398,0.41887
0.67799,0.29868,0.45877,0.4057
0.65763,0.31101,0.49581,0.41192
0.65742,0.31487,0.47625,0.39915
0.62476,0.33432,0.45215,0.39822
0.6101,0.33401,0.44755,0.41035
0.57113,0.32228,0.43502,0.40197
0.57831,0.33504,0.44075,0.40781
0.54329,0.37488,0.41849,0.42588
0.50494,0.37692,0.40952,0.40004
0.49082,0.34582,0.42582,0.38894
0.49231,0.38572,0.41623,0.3894
